,Unnamed: 0.1,Unnamed: 0,Text,socialMediaAbuse,twitterHateSpeech,tweets_reese_socialMediaAbuse,tweets_reese_twitterHateSpeech
137,137,137,"@therecount This young lady has way too much to say.  Where are the coach and school officials on this?  They should be the spokespersons, not Angel Reese.  Is this what a win is all about for you?","[4643, 5865, 6777, 392, 5825]","[14832, 6680, 21526, 3070, 22444]",0,0
138,138,138,John Cena giving credit where it’s due! @TonyYayo here’s your flowers 💐 #lsuvsiowa #AngelReese #CaitlinClark #hiphopculture rules! https://t.co/cWaUeFQa3I,"[1080, 2691, 5876, 1923, 2928]","[18244, 1821, 1402, 2395, 2762]",1,2
139,139,139,Very tired of seeing Angel Reese pop up on my page every day. Could not care about anything much less than that,"[1748, 5826, 951, 4499, 7651]","[10485, 7768, 17729, 1315, 1863]",0,1
140,140,140,"LSU lady hoopster Angel Reese would rather visit Obamas than Biden White House— Wow Then Stay Your Ass @ Home.President &amp;1st Lady Biden Opening They House The WhiteHouse In The UnitedStates Of America 🇺🇸 OMG 2The LSU Champions,Girl Bye 👋🏾  https://t.co/TXykDRR06d","[6190, 3922, 2852, 4519, 3702]","[12296, 16817, 23689, 17747, 22926]",0,0
141,141,141,ANGEL REESE AND JAH MORANT HANGING OUT MAKES SENSE TO ME,"[3256, 7367, 7651, 1999, 8256]","[11792, 22326, 20474, 23481, 24153]",1,2
142,142,142,Where’s all the .@Kaepernick7 supporters at? Where is he at? Wonder how he feels getting replaced by .@Nike .@nikestore with a boy pretending to be a woman. They could have used his girlfriend. Or any number of real women athletes like Angel Reese,"[4643, 775, 5865, 1594, 7578]","[15849, 12739, 3818, 1453, 3696]",0,0
143,143,143,Angel Reese is just embarrassing at this point,"[951, 5826, 3730, 7651, 6777]","[7768, 10485, 12265, 13749, 8384]",0,0
145,145,145,@barstoolsports Angel Reese looks like a Lovecraftian fish person,"[5826, 648, 4368, 5346, 4653]","[17592, 3418, 18197, 6100, 3078]",0,1
146,146,146,"During a podcast on Wednesday, LSU’s Angel Reese said the Tigers should celebrate their title with former President Barack Obama and former first lady Michelle Obama rather than Joe and Jill Biden. https://t.co/plZO5ffGK1","[1808, 6777, 3922, 2201, 1019]","[17580, 13714, 18584, 16817, 22975]",0,2
148,148,148,"LSU Tigers star Angel Reese faces social media backlash after her comment on first lady Jill Biden's invitation to the White House for both LSU and Iowa Hawkeyes, who lost to LSU in Sunday’s NCAA Tournament final.
#AngelReese #LSU #ncaatournament #JillBiden #WhiteHouse #backlash https://t.co/qhhi6M7bE2","[6190, 3922, 6076, 6777, 5527]","[12296, 20260, 17778, 15251, 16138]",0,0
149,149,149,@AP Since when does Angel Reese make team decisions?,"[5826, 6777, 5865, 7651, 3730]","[4336, 15052, 5007, 20057, 1398]",0,2
150,150,150,If Angel Reese just disappeared from my memory and timeline that’d be cool,"[5826, 3730, 1748, 6777, 6551]","[4450, 11152, 8326, 7768, 18916]",0,1
151,151,151,"Angel Reese 
Last I heard the Obamas aren’t in the @WhiteHouse, but you can go to Kenya and visit them.","[6121, 7574, 8099, 2727, 880]","[9812, 14804, 7212, 16817, 4036]",0,0
152,152,152,Every rapper writing Angel Reese bars right now https://t.co/EvLowoMjMZ,"[5892, 7289, 2463, 8250, 29]","[12856, 1344, 20467, 15874, 13207]",1,2
153,153,153,@BlackPornClips She look like angel reese but thicker.,"[2665, 6234, 2503, 6777, 1748]","[10485, 18197, 2328, 24314, 6638]",1,2
155,155,155,@Edwin07011 Angel Reese call it being “ghetto” attractive isn’t it,"[3690, 5273, 534, 4977, 5146]","[5845, 2358, 18337, 140, 6800]",0,1
156,156,156,Dan Kelly is the type of guy who would be mad at Angel Reese then give that concession speech. Grade A piece of shit.,"[3665, 1080, 8475, 5826, 5780]","[22172, 21106, 12265, 10999, 13644]",0,0
157,157,157,"All I really have to say about the Angel Reese situation is that I've only seen/heard white men talking down about her. I'm not surprised, just pointing out what we all know the real issue is 🤷🏾","[7651, 6076, 6829, 4626, 3976]","[13644, 21418, 980, 9120, 10112]",0,0
158,158,158,@FLOTUS Good idea having Angel Reese visit the obama's. One animal visiting the other at the zoo. Then they swap ideas how they all hate America,"[3232, 7574, 308, 2644, 6746]","[9812, 19814, 16817, 14804, 20457]",0,0
159,159,159,"Angel Reese @LSUBasketball Stalk taunting @CycloneWBB female Steph curry while confetti’s showering the court was out of pocket or Normal, like NBD.. #LSULadyTigers #marchdadness @FLOTUS","[5865, 332, 2026, 812, 1823]","[6499, 24465, 15615, 1639, 18653]",0,1
160,160,160,"LSU’s Angel Reese Turns Down Biden White House Invite But Says, ‘We’ll Go To The Obamas’ https://t.co/liF2ut7vn9 #politics #feedly","[6190, 3922, 3976, 959, 3476]","[18863, 8433, 17747, 20299, 12296]",0,2
161,161,161,@Reese10Angel #OUFFFFF🔥🔥 wow😲🔥WOW😲🔥 #AngelReese💋🏀🏆💍✨😇⛹🏽‍♀️💫👸🏾👑🦋💖🎶🖤YOU🏆⛹🏽‍♀️CANT🏀SEE💍ME💋😘🍑🔥🔥 #FemmePOWER💋✨💎💫💪🏿💪💪🏽🔥🔥 #BeautyAndBrains💋📚🗣️✨💪🏿💪💪🏽🔥🔥 #PayThePlayers #PayWomenPROPER #NCAA #NCAAChampionship #heforshe 👫,"[5865, 7804, 2638, 7522, 4463]","[5305, 11747, 842, 12657, 724]",1,0
162,162,162,John Cena giving credit where it’s due! @TonyYayo here’s your flowers 💐 #lsuvsiowa #AngelReese #CaitlinClark #hiphopculture rules! https://t.co/sHOCfaokWI,"[1080, 2691, 5876, 1923, 7289]","[18244, 1821, 2395, 1402, 2762]",1,2
163,163,163,Time to wrap this Angel Reese stuff up,"[5826, 3730, 6233, 4499, 951]","[21446, 11183, 7768, 10936, 7622]",0,2
165,165,165,#OUFFFFF🔥🔥 wow😲🔥WOW😲🔥 #AngelReese💋🏀🏆💍✨😇⛹🏽‍♀️💫👸🏾👑🦋💖🎶🖤YOU🏆⛹🏽‍♀️CANT🏀SEE💍ME💋😘🍑🔥🔥 #FemmePOWER💋✨💎💫💪🏿💪💪🏽🔥🔥 #BeautyAndBrains💋📚🗣️✨💪🏿💪💪🏽🔥🔥 #PayThePlayers #PayWomenPROPER #NCAA #NCAAChampionship #heforshe 👫,"[5865, 2638, 7043, 7804, 2225]","[842, 11747, 724, 12657, 9671]",1,1
167,167,167,Angel  Reese  can  reject  any  type  of  invite  she  wants  actually  regardless  of  reasoning  she's  just  allowed  to  say  no  to  things  😭😭  it  doesn't  matter  if  it's  the  president  she  doesn't  have  to  say  yes  to  any  event  🤷‍♀️,"[3976, 5172, 5826, 5207, 2201]","[23384, 22419, 15709, 14125, 7940]",1,2
168,168,168,@2tall4u2 @_patient_man @CNN Sheesh!  Put away the race card.  Angel Reese is an arrogant brat that’s all the explanation needed!,"[5826, 5097, 6777, 1168, 5172]","[7768, 13644, 21391, 6650, 14211]",0,1
169,169,169,I been getting T’ea cooper and Angel Reese mixed up 😭 I was like that can’t be the same girl 😂😂,"[951, 6777, 3256, 7651, 3730]","[11792, 16445, 12972, 14125, 15709]",0,2
170,170,170,It’s really wild how a bunch of people too scared to stand up for themselves are encouraging my good sis Angel Reese to be cowards as well.,"[1143, 4713, 6501, 4443, 4524]","[13605, 21558, 4417, 21151, 9161]",0,0
172,172,172,"https://t.co/OaKYwMmdMo   CONGRATULATIONS Angel Reese for rejecting Mrs. Biden's disrespectful ""WH"" invite explanation!  Why is it that certain people ""holding"" any kind of authority  position...think that they do NOT have to be careful with what they say???  👏👏👍💪#MrsBiden","[2961, 5182, 959, 657, 7927]","[3671, 8296, 15819, 1250, 17196]",0,0
173,173,173,"@Beachlife321x @Reese10Angel Great award. Still not a title though. You don't impress me with loses. Christian Laettner was a fantastic college player but size, speed and athleticism matters on the next level. Angel Reese matches up better against a Brittney Griner type. Clark simply doesn't. Size matters.","[3764, 1469, 4843, 3922, 3455]","[1528, 8386, 16223, 12107, 18399]",0,0
174,174,174,@CNN Angel Reese is an arrogant brat.  She doesn’t deserve to visit the White House &amp; if her entire team is willing to follow the lead of such an awful person then so be it.  No visit-oh well. 🤷🏻‍♀️,"[754, 2665, 186, 3976, 1748]","[4876, 14537, 20533, 16817, 4575]",0,1
175,175,175,@barstoolsports @StoolBaseball Barstool didn’t post about Angel Reese??? Are you guys feeling okay??,"[6777, 1748, 6076, 4684, 5826]","[4890, 3867, 14140, 3653, 4161]",0,2
176,176,176,@JuneSummer1 Obama would call Angel Reese a jackass,"[4922, 5826, 4381, 6687, 3249]","[2569, 9812, 20403, 16073, 5002]",0,2
177,177,177,@StronglyPoetic @ojingagreen29 @MikeJGreiner @athompsonABJ @Reese10Angel @TheIowaHawkeyes @CaitlinClark22 @JohnCena @LSU U still don't see the difference huh drill trying to defend Reese and make it look even.. If angel was white id be saying the same thing.. Angel made it way more obvious and intentional what she was doing.. Why would angel take offense to clark doing it to no individual person,"[6234, 5172, 2472, 8129, 1327]","[16462, 7768, 1577, 6174, 6499]",0,2
178,178,178,"First lady Jill Biden’s walk-back of her suggestion that runner-up Iowa should join NCAA women’s basketball champion LSU for a visit to the White House didn’t sit well with Tigers star Angel Reese, who called the suggestion “a joke.” https://t.co/yaCTy96UuU","[4716, 4321, 3976, 6730, 4848]","[5537, 4876, 20704, 12049, 9676]",0,2
180,180,180,"Angel Reese certainly is full of her own self importance.  

 https://t.co/84zltHyt4x via @YahooNews","[754, 1748, 6234, 2665, 3730]","[19824, 7768, 24414, 10485, 19300]",0,1
181,181,181,"@HuffPostPol Angel Reese, don't hold your breath for an invitation but, you may get some advice about being presumptuous.","[793, 4982, 764, 651, 6682]","[4012, 23384, 15965, 3886, 5942]",0,2
183,183,183,"LSU star Angel Reese says that neither she, nor her team, would be visiting the White House after the Tigers defeated the Iowa Hawkeyes 102-85 to win their first basketball national championship. https://t.co/h0MzX8wqbl","[6190, 2030, 3922, 6777, 3976]","[24414, 12296, 20533, 10307, 7549]",0,2
184,184,184,"LSU's Angel Reese Turns Down Biden White House Invite But Says, 'We'll Go To The Obamas' https://t.co/MwWP8CkEDz","[6190, 3922, 3976, 2044, 8475]","[18863, 17747, 8433, 12296, 23689]",1,2
186,186,186,@Malcolm_fleX48 Watch all the conservative Angel Reese haters suddenly storm back as fans because of this...,"[5826, 1748, 6777, 1241, 743]","[1123, 14752, 3867, 5991, 16422]",0,2
187,187,187,Angel Reese is 6’3. Yes please.,"[5826, 3730, 1748, 2503, 8426]","[816, 3656, 5039, 7836, 15632]",1,2
189,189,189,Stop showing me shit about Angel Reese,"[5826, 1748, 8250, 3730, 951]","[7768, 10485, 7930, 24593, 12265]",0,2
190,190,190,"@Reese10Angel Sometimes you must realize that you have won and leave it there. You didn't have to diss the white house and bring the Obamas into it. Fame is fleeting and the fall is swift, be mindful: ""Angel Reese says her team won't go to the White House but would celebrate with the Obamas""","[6991, 754, 6934, 2201, 2455]","[18812, 20533, 16817, 19068, 20704]",0,1
192,192,192,lol,"[6851, 4852, 3597, 6390, 804]","[12595, 24183, 24572, 23887, 9607]",1,2
193,193,193,"It's called values. Principles. Self-respect. Are you familiar? The Bidens made an enemy out of Angel Reese, not the other way around","[104, 5584, 8054, 4292, 5813]","[14962, 10238, 21020, 11449, 11937]",1,2
194,194,194,I’m def buying an Angel Reese jersey.,"[245, 5826, 5865, 4275, 1748]","[10586, 13030, 11625, 21248, 11626]",1,2
195,195,195,@_Vaun @hausofJazzy it’s gotta be. not enough fake tanning in jersey to be that hue,"[8159, 3609, 4709, 1906, 2283]","[7182, 1107, 2319, 3417, 13247]",0,1
196,196,196,‘I Don’t Accept Her Apology’: Angel Reese Suggests Alternate LSU Celebration After Turning Down White House Visit - Sports Illustrated https://t.co/N6joFp9kat,"[6190, 754, 702, 2201, 3922]","[12296, 7539, 17778, 20533, 9676]",0,1
197,197,197,That's fine you tryna spoil Mario like that shit ain't a fat turtle stealing a white bitch and then they drive on rainbow road,"[6896, 5074, 699, 1172, 3788]","[24493, 22258, 8846, 8176, 10002]",0,1
199,199,199,also yeah Cody should’ve won,"[1080, 5820, 7853, 7783, 5881]","[22809, 12107, 8527, 22668, 22376]",1,2
200,200,200,I know Angel Reese DMs going crazy 😂,"[6076, 5826, 7651, 1748, 8250]","[7768, 13199, 14125, 15709, 7701]",1,2
201,201,201,angel reese wit ja morant jus ruined my whole month,"[6777, 5826, 8502, 8250, 4493]","[7768, 21517, 14647, 3867, 3317]",0,2
202,202,202,@Clari4Perez @MazvitaJames Angel Reese flashing white supremacist hand sign. Oh dear.,"[3527, 7740, 2517, 754, 2256]","[3012, 1338, 20286, 5496, 5540]",0,0
203,203,203,Angel Reese ring 2 lol,"[5826, 6551, 2398, 8256, 4188]","[23481, 11792, 2899, 22010, 7768]",0,2
205,205,205,@HotFreestyle @IAMATHLETEpod Come on Angel Reese. Show the First Lady some grace. You're a champion but you're not acting as one.,"[2665, 2974, 2455, 8099, 754]","[4976, 2997, 20100, 4144, 3238]",0,0
206,206,206,@CNN Angel Reese’s fighting spirit is what helped win the national championship.,"[3922, 1707, 6875, 328, 7680]","[2588, 4115, 20948, 1528, 12107]",1,2
207,207,207,i hardly know who angel reese is but she got me hooked fr,"[5826, 2751, 1748, 951, 3730]","[7768, 10485, 2899, 13199, 24414]",1,2
208,208,208,@Reese10Angel Is there not a shop or site where I can purchase an Angel Reese jersey??,"[245, 4362, 5128, 8376, 5826]","[3158, 5768, 10586, 5733, 13030]",1,2
209,209,209,"@yamishly @SpeakRyanSpeak @tariqnasheed Lol Angel Reese didn't ""show her up"".  Reese acted like a clown even though Caitlin dropped a 30 piece.  Iowa was invited bc they are an awesome team that set record ratings. Nobody tuned in to watch Angel Reese or South Carolina.","[2026, 3922, 2751, 6234, 6777]","[2899, 2629, 3086, 20224, 4165]",0,2
210,210,210,"@RangerONE_SC @ChantelJennings So Angel Reese is better that Clark because of her victory. Is that how this works?
Y’all IA fans are truly delusional! 🤣🤣😂😂","[6234, 2026, 1808, 6777, 1168]","[1528, 5991, 18399, 6075, 352]",0,2
211,211,211,not enough predominantly white schools in my life to make me stay. ever.,"[6976, 7581, 5166, 6490, 1041]","[10644, 11148, 7600, 10477, 2128]",0,1
212,212,212,@whois_bandz @chiverson_ @BleacherReport @Reese10Angel nobody taunted angel reese. cc taunted south carolinas bench and somehow angel reese took it personal (if i had to guess i’d say its a womens basketball thing but idk),"[5865, 6777, 5826, 4684, 332]","[4491, 4144, 14422, 3039, 5208]",0,2
213,213,213,See this Instagram video by @chicagocheetah https://t.co/vBSYqXKVYm #AngelReese #whitesupremacy #racist #racism #BlackTwitter  #JillBiden,"[6976, 854, 3036, 3496, 8203]","[18062, 1260, 19176, 16103, 7140]",0,0
214,214,214,the backlash towards angel reese is rooted in yalls internalized racism but y’all ain’t ready for that convo,"[6777, 3974, 6454, 5826, 7245]","[13644, 7768, 9800, 2315, 792]",1,0
215,215,215,@CNN Angel Reese is squandering her moment to shine with this childish nonsense.,"[1748, 7273, 4808, 2665, 6777]","[4681, 1082, 14537, 3086, 19824]",0,0
216,216,216,I love Angel Reese lol she’s so confident and cocky. i love it!!,"[2751, 951, 2026, 4912, 3730]","[12981, 10485, 4668, 13199, 7768]",1,2
218,218,218,"Nike, or Jordan needs to give Angel Reese a shoe deal. A signature shoe with these LSU jerseys would hit hard!","[5865, 7578, 245, 3384, 8193]","[3818, 13368, 12417, 219, 1442]",1,2
219,219,219,"Idk why ppl on Angel Reese like that, they dragging it. But if LSU had lost it wouldn’t have gotten to this point","[6190, 6913, 7367, 7522, 2852]","[8393, 12296, 17778, 7549, 6221]",0,2
220,220,220,"@BleacherReport @Reese10Angel LSU women and Angel Reese are champions, Trump got indicted tough week for the Maga crowd 😂😂","[6777, 6028, 8014, 3922, 5826]","[4976, 14752, 13561, 2718, 5719]",1,0
221,221,221,Bro stop tweeting and watch the fucking movie they say silence your phone you not following instructions,"[4999, 3008, 6967, 5425, 6408]","[22484, 23837, 10252, 13230, 2775]",0,1
223,223,223,@MarkAhrens18 @Frankli45731208 @Reese10Angel Never in my life could I imagine a bunch of salty white people crying about women's basketball. Sweet Jesus. We've reached a true low. Angel Reese is not only a better player her overall stats are better and translate better to the next level where size and speed matters.,"[5865, 2026, 4643, 4164, 8155]","[20153, 1639, 7768, 3892, 15088]",1,0
224,224,224,LSU’s Angel Reese won’t accept Jill Biden apology: ‘We’ll go to the Obamas’ https://t.co/USJabWsAWG,"[6190, 6777, 754, 2852, 1168]","[4876, 18863, 15331, 20403, 17778]",0,2
225,225,225,Angel Reese is an American Hero.,"[3730, 5826, 3249, 754, 7069]","[7768, 20603, 8950, 19895, 24330]",1,2
226,226,226,"LSU’s Angel Reese airs frustrations with Jill Biden’s White House comments: ‘We’ll go to the Obamas’ 

via @TheAthletic  https://t.co/jBIDOlXcAU","[959, 6190, 2852, 3976, 3232]","[8433, 18863, 4876, 20403, 3671]",0,2
